Date,Gold,SP500,Euro,Oil,Silver,Quarter
2013-08-22,132.809998,148.855698,1.3356,37.540001,51195,3
2015-04-17,115.599998,192.867813,1.0807,19.84,36455,2
2012-10-05,172.619995,128.81926,1.3034,33.349998,61732,4
2018-08-31,113.510002,287.323883,1.1601,14.71,36701,3
2015-11-05,105.639999,196.875519,1.0884,14.48,35500,4
2018-10-11,115.779999,270.589874,1.1594,14.95,38889,4
2014-06-12,122.639999,176.05423000000005,1.3553,39.080002,41251,2
2013-07-09,120.620003,148.02203400000005,1.2781,36.77,40168,3
2015-02-26,116.07,195.177979,1.1198,18.030001,36628,1
2015-11-17,102.339996,192.49115,1.0644,13.01,33707,4
2012-11-20,167.389999,122.693008,1.2818,31.950001,61536,4
2018-05-18,122.410004,267.338654,1.1778,14.43,40195,2
2018-01-19,126.419998,275.182922,1.2222,12.72,38969,1
2017-07-11,115.620003,235.298981,1.1467,9.27,36771,3
2018-06-08,123.010002,274.097778,1.1768,13.27,40412,2
2015-12-31,101.459999,192.128464,1.0861,11.0,33299,4
2012-01-04,156.71000700000005,110.90391499999998,1.2942,39.77,52761,1
2013-02-06,162.389999,134.189316,1.3523,35.040001000000004,58376,1
2016-04-08,118.43,193.715836,1.1401,10.03,36671,2
2015-10-08,109.139999,188.500275,1.1279,16.040001,36875,4
2014-05-21,124.389999,172.042618,1.3687,37.98,40896,2
2015-04-21,115.379997,194.398132,1.0736,19.450001,36157,2
2017-10-19,122.389999,249.745331,1.1852,10.35,39846,4
2015-09-14,106.220001,182.650467,1.1321,14.39,34713,3
2012-05-10,154.770004,118.647324,1.2936,36.610001,54568,2
2016-07-28,127.660004,206.407043,1.1076,9.67,47362,3
2016-04-28,121.290001,196.510239,1.1353,11.22,41044,2
2013-09-24,127.660004,152.706863,1.3474,37.220001,49152,3
2017-01-19,114.769997,217.470978,1.0664,11.17,41270,1
2014-09-15,118.639999,181.869736,1.2942,34.560001,41400,3
2014-04-10,127.010002,166.612015,1.3888,37.200001,43486,2
2018-04-09,126.82,257.160614,1.2321,12.77,38545,2
2013-11-05,126.559998,158.778,1.3474,33.669998,48159,4
2013-06-17,133.770004,146.627625,1.3369,34.759998,43597,2
2016-11-15,117.120003,208.894836,1.0721,10.34,41407,4
2018-08-07,114.589996,282.642517,1.1599,14.36,37883,3
2017-06-13,120.480003,236.438828,1.1216,9.6,38771,2
2013-09-06,134.149994,148.837738,1.318,39.360001,54817,3
2016-03-08,120.580002,186.973495,1.1011,9.65,37427,1
2016-06-27,126.68,190.057892,1.1026,11.19,42289,2
2013-12-13,119.379997,160.435425,1.3743,34.639999,44776,4
2017-03-01,119.059998,230.82283,1.0548,11.4,43408,1
2014-07-23,125.620003,181.55899,1.3465,38.16,44928,3
2013-09-04,134.660004,148.57782,1.3209,38.34,53141,3
2014-09-12,118.379997,182.006836,1.2965,34.380001,41309,3
2016-04-07,118.610001,193.194794,1.1377,9.51,36382,2
2013-11-04,126.809998,159.282471,1.3516,34.040001000000004,48257,4
2015-08-19,108.550003,194.113907,1.1119,13.43,35527,3
2016-09-02,126.57,207.930542,1.1156,10.24,45480,3
2018-04-11,128.110001,259.880035,1.2367,13.45,39181,2
2015-12-04,104.019997,196.379028,1.0886,12.46,34424,4
2014-06-18,122.669998,178.52844199999996,1.3596,39.009998,42398,2
2017-12-26,121.769997,262.209412,1.1859,11.95,38294,4
2013-12-11,120.860001,160.98490900000004,1.3786,34.98,45730,4
2013-10-21,126.980003,157.093552,1.3683,35.939999,49178,4
2015-06-12,113.230003,194.704224,1.1269,20.27,36594,2
2012-08-23,161.889999,123.330429,1.2564,35.759998,56778,3
2017-01-11,113.5,218.616516,1.0582,11.37,41008,1
2016-05-31,116.059998,198.774216,1.1132,11.87,38400,2
2014-02-26,128.110001,167.410782,1.3688,36.75,46642,1
2017-07-28,120.690002,239.884689,1.1752,10.17,38460,3
2018-05-22,122.410004,268.599792,1.1779,14.56,40495,2
2012-11-26,169.429993,124.332558,1.2973,32.189999,63734,4
2016-09-09,126.75,203.083878,1.1233,10.59,46194,3
2012-11-07,166.490005,123.160194,1.2771,31.209999,59252,4
2013-12-03,117.959999,161.912704,1.359,34.509998,42843,4
2015-05-08,113.970001,196.271622,1.1204,20.42,37935,2
2018-07-27,115.830002,278.52533,1.1658,14.32,38326,3
2014-02-20,127.599998,166.731537,1.3718,36.880001,47486,1
2015-10-20,112.730003,190.280212,1.1345,14.73,37042,4
2013-01-23,163.21000700000005,132.600281,1.3318,34.610001000000004,59865,1
2017-09-15,125.529999,243.301315,1.1943,10.2,40814,3
2014-08-29,123.860001,183.451004,1.3133,35.759998,42255,3
2015-08-24,110.529999,176.657837,1.162,12.5,35410,3
2017-10-04,121.169998,247.17749,1.176,10.08,39086,4
2016-07-25,125.470001,206.29277,1.0994,10.13,46473,3
2017-10-13,123.82,248.925186,1.1823,10.37,40399,4
2014-01-22,119.190002,166.912689,1.3548,34.560001,44338,1
2018-02-05,126.709999,259.010132,1.2368,12.77,38553,1
2015-08-07,104.650002,193.778381,1.0968,14.56,34031,3
2014-05-20,124.690002,170.605392,1.3703,37.52,41030,2
2015-08-25,109.160004,174.495621,1.1517,12.73,34652,3
2012-12-12,165.770004,126.500969,1.3074,31.780001,63224,4
2016-08-30,125.029999,207.578232,1.1143,10.73,43980,3
2016-04-21,119.419998,197.950089,1.1288,10.72,40086,2
2014-01-23,121.790001,165.54513500000004,1.3695,34.720001,44910,1
2015-08-12,107.75,194.710342,1.1157,14.44,36091,3
2014-06-03,120.010002,175.381058,1.3628,37.639999,39773,2
2018-05-09,124.330002,265.53558300000003,1.185,14.37,40079,2
2012-08-27,161.360001,124.101974,1.25,35.610001000000004,58039,3
2012-05-22,152.080002,115.315186,1.2684,34.48,54392,2
2012-08-24,161.970001,124.075722,1.2513,35.68,56949,3
2012-10-12,170.059998,125.95446,1.295,34.0,61346,4
2017-05-18,118.809998,228.91687,1.1103,10.26,38889,2
2014-11-25,115.379997,190.185699,1.2475,28.030001,36520,4
2012-12-07,165.160004,125.531403,1.2927,31.530001,62492,4
2017-02-02,115.839996,219.26149,1.0758,11.51,41801,1
2013-05-10,139.600006,145.709259,1.2993,34.139999,45062,2
2015-06-01,114.0,196.225296,1.0928,20.360001,38242,2
2017-12-29,123.650002,261.885559,1.1998,12.01,39237,4
2013-05-31,133.919998,145.74487299999996,1.2999,32.610001000000004,43616,2
2015-11-20,103.089996,196.088608,1.0646,12.93,33589,4
2017-02-15,117.449997,226.144394,1.0601,11.36,42651,1
2017-04-10,119.459999,227.534302,1.0596,11.14,41366,2
2017-04-11,121.190002,227.263565,1.0602,11.17,42187,2
2014-09-23,117.599998,181.829315,1.2847,34.439999,39511,3
2018-05-14,124.489998,268.964386,1.1927,14.38,40348,2
2018-04-02,127.260002,253.682541,1.2302,12.74,39030,2
2012-06-08,154.729996,116.100296,1.2517,31.799999,54296,2
2014-07-02,127.699997,180.270218,1.366,38.400002,44715,3
2014-11-04,112.220001,184.639297,1.2546,29.299999,35495,4
2015-06-25,112.440002,195.558472,1.1204,19.98,36106,2
2016-03-30,117.099998,195.155655,1.1338,9.73,36329,1
2015-03-06,111.860001,191.595413,1.0844,18.24,35972,1
2015-11-13,103.559998,189.746262,1.0779,13.06,33845,4
2012-08-21,158.830002,124.294899,1.2472,35.98,55240,3
2012-06-04,157.320007,111.738869,1.2498,31.76,53839,2
2013-03-19,156.080002,137.862427,1.2883,33.07,54707,1
2015-08-13,106.860001,194.505325,1.1149,14.09,36007,3
2017-08-31,125.82,240.448196,1.1909999999999998,9.63,39798,3
2018-12-06,117.139999,268.273376,1.1376,10.94,37218,4
2015-07-08,111.089996,190.618958,1.1077,17.379998999999998,35000,3
2013-08-01,126.610001,152.97908,1.3207,38.27,41407,3
2017-12-04,121.18,257.89801,1.1866,11.49,37494,4
2017-08-01,120.650002,240.283051,1.1802,10.09,38512,3
2013-12-09,119.720001,163.398926,1.3739,34.91,44160,4
2013-08-26,135.449997,148.801865,1.3369,37.959999,53787,3
2015-01-05,115.800003,186.258423,1.1934,18.790001,37026,1
2018-12-12,117.790001,263.918793,1.1368,10.82,38561,4
2012-10-31,166.830002,124.597,1.296,31.780001,59881,4
2017-03-27,119.529999,225.871338,1.0865,10.04,42122,1
2017-06-07,122.449997,235.578354,1.1257,9.46,40552,2
2017-03-03,117.510002,229.513641,1.0623,11.29,42151,1
2017-07-24,119.309998,239.797272,1.1642,9.5,38086,3
2018-08-17,112.129997,282.127899,1.1439,13.69,36778,3
2013-04-05,152.809998,138.352875,1.2990000000000002,33.279999,51479,2
2013-10-15,123.730003,152.860001,1.3523,36.470001,47281,4
2015-08-18,107.110001,195.651688,1.1021,14.05,34794,3
2012-03-14,159.570007,121.50798,1.3029,40.41,57236,1
2012-10-23,165.429993,124.658699,1.2986,31.969999,59186,4
2012-09-19,171.740005,128.626266,1.3048,34.119999,64480,3
2016-10-12,119.739998,204.521332,1.1008,11.43,42051,4
2016-05-12,121.160004,195.667175,1.1377,11.45,40803,2
2015-04-24,113.050003,196.299484,1.0874,19.67,35950,2
2015-09-15,105.900002,184.952469,1.1267,14.57,34625,3
2016-07-19,127.209999,205.854752,1.1022,10.7,47024,3
2018-10-17,115.790001,278.82180800000003,1.1501,14.82,38835,4
2017-08-21,122.760002,235.98877,1.1816,9.71,39088,3
2017-04-03,119.349998,227.52464300000003,1.0671,10.55,42321,2
2018-07-13,117.610001,276.714142,1.1685,14.47,39046,3
2015-11-16,103.709999,192.631683,1.0686,13.39,33796,4
2013-11-29,120.699997,163.038651,1.359,33.459999,44274,4
2015-09-03,107.839996,182.342911,1.1124,15.34,34762,3
2014-06-19,126.940002,178.728561,1.3609,39.130001,44311,2
2017-02-14,116.93,224.969955,1.0577,11.38,42480,1
2018-06-18,121.110001,273.715332,1.1623,13.29,40020,2
2017-05-23,119.139999,232.08807400000003,1.1183,10.64,39958,2
2015-01-15,120.940002,183.765396,1.1631,17.450001,37922,1
2017-10-06,121.089996,248.358871,1.1734,9.97,39596,4
2014-04-23,123.760002,170.514404,1.3817,36.91,42482,2
2014-10-08,117.470001,180.571274,1.2734,33.0,38217,4
2015-01-21,124.230003,187.514191,1.161,17.77,39923,1
2014-03-27,124.589996,167.90373200000005,1.374,36.5,42891,1
2017-10-30,121.129997,250.682648,1.1651,10.87,39265,4
2016-10-06,119.660004,206.502319,1.1151,11.51,41521,4
2013-10-07,127.639999,150.815277,1.3582,37.139999,49630,4
2016-04-01,116.93,196.008209,1.1387,9.33,35922,2
2017-01-25,114.32,220.99424700000003,1.0748,11.31,41193,1
2015-05-04,114.099998,195.993423,1.1146,20.280001,37130,2
2013-04-03,150.729996,138.415298,1.2851,33.759998,50722,2
2017-08-25,122.739998,237.601547,1.1926,9.75,39012,3
